species1	species2	replicate
1	Sebastes_babcocki	Sebastes_nigrocinctus	1
2	Sebastes_aurora	Sebastes_ruberrimus	1
3	Sebastes_crameri	Sebastes_mentella	1
4	Sebastes_aleutianus	Sebastes_variabilis	1
5	Sebastes_melanostomus	Sebastes_mentella	2
6	Sebastes_helvomaculatus	Sebastes_nebulosus	2
7	Sebastes_aleutianus	Sebastes_polyspinis	2
8	Sebastes_crameri	Sebastes_reedi	2
9	Sebastes_aurora	Sebastes_maliger	2
10	Sebastes_babcocki	Sebastes_diploproa	2
11	Sebastes_aleutianus	Sebastes_fasciatus	3
12	Sebastes_nigrocinctus	Sebastes_ruberrimus	3
13	Sebastes_melanostomus	Sebastes_nebulosus	3
14	Sebastes_crameri	Sebastes_reedi	3
15	Sebastes_polyspinis	Sebastes_variabilis	3
16	Sebastes_aurora	Sebastes_maliger	3
17	Sebastes_alutus	Sebastes_babcocki	4
18	Sebastes_melanostomus	Sebastes_nebulosus	4
19	Sebastes_aurora	Sebastes_maliger	4
20	Sebastes_polyspinis	Sebastes_variabilis	4
21	Sebastes_fasciatus	Sebastes_mentella	4
22	Sebastes_diploproa	Sebastes_nigrocinctus	4
23	Sebastes_crameri	Sebastes_reedi	4
24	Sebastes_fasciatus	Sebastes_nigrocinctus	5
25	Sebastes_maliger	Sebastes_melanostomus	5
26	Sebastes_aleutianus	Sebastes_polyspinis	5
27	Sebastes_crameri	Sebastes_reedi	5
28	Sebastes_nebulosus	Sebastes_variabilis	6
29	Sebastes_nigrocinctus	Sebastes_ruberrimus	6
30	Sebastes_aurora	Sebastes_maliger	6
31	Sebastes_crameri	Sebastes_reedi	6
32	Sebastes_fasciatus	Sebastes_mentella	6
33	Sebastes_melanostomus	Sebastes_reedi	7
34	Sebastes_helvomaculatus	Sebastes_nebulosus	7
35	Sebastes_alutus	Sebastes_variabilis	7
36	Sebastes_babcocki	Sebastes_ruberrimus	7
37	Sebastes_aurora	Sebastes_maliger	7
38	Sebastes_diploproa	Sebastes_nigrocinctus	7
39	Sebastes_fasciatus	Sebastes_mentella	7
40	Sebastes_babcocki	Sebastes_crameri	8
41	Sebastes_alutus	Sebastes_variabilis	8
42	Sebastes_melanostomus	Sebastes_pinniger	8
43	Sebastes_fasciatus	Sebastes_mentella	8
44	Sebastes_aurora	Sebastes_nebulosus	8
45	Sebastes_diploproa	Sebastes_nigrocinctus	8
46	Sebastes_aleutianus	Sebastes_alutus	9
47	Sebastes_crameri	Sebastes_maliger	9
48	Sebastes_fasciatus	Sebastes_mentella	9
49	Sebastes_babcocki	Sebastes_diploproa	9
50	Sebastes_polyspinis	Sebastes_variabilis	9
51	Sebastes_babcocki	Sebastes_ruberrimus	10
52	Sebastes_fasciatus	Sebastes_variabilis	10
53	Sebastes_melanostomus	Sebastes_nebulosus	10
54	Sebastes_diploproa	Sebastes_nigrocinctus	10
55	Sebastes_crameri	Sebastes_reedi	10
56	Sebastes_aurora	Sebastes_maliger	10
57	Sebastes_babcocki	Sebastes_nigrocinctus	11
58	Sebastes_alutus	Sebastes_crameri	11
59	Sebastes_polyspinis	Sebastes_variabilis	11
60	Sebastes_helvomaculatus	Sebastes_pinniger	11
61	Sebastes_mentella	Sebastes_ruberrimus	11
62	Sebastes_aurora	Sebastes_maliger	11
63	Sebastes_maliger	Sebastes_nigrocinctus	12
64	Sebastes_aleutianus	Sebastes_fasciatus	12
65	Sebastes_crameri	Sebastes_reedi	12
66	Sebastes_alutus	Sebastes_polyspinis	12
67	Sebastes_mentella	Sebastes_ruberrimus	13
68	Sebastes_crameri	Sebastes_reedi	13
69	Sebastes_babcocki	Sebastes_nigrocinctus	13
70	Sebastes_maliger	Sebastes_pinniger	13
71	Sebastes_alutus	Sebastes_variabilis	13
72	Sebastes_alutus	Sebastes_aurora	14
73	Sebastes_fasciatus	Sebastes_mentella	14
74	Sebastes_babcocki	Sebastes_diploproa	14
75	Sebastes_crameri	Sebastes_reedi	14
76	Sebastes_polyspinis	Sebastes_variabilis	14
77	Sebastes_helvomaculatus	Sebastes_pinniger	15
78	Sebastes_aleutianus	Sebastes_diploproa	15
79	Sebastes_aurora	Sebastes_maliger	15
80	Sebastes_crameri	Sebastes_reedi	15
81	Sebastes_fasciatus	Sebastes_mentella	15
82	Sebastes_alutus	Sebastes_variabilis	15
83	Sebastes_helvomaculatus	Sebastes_ruberrimus	16
84	Sebastes_aleutianus	Sebastes_variabilis	16
85	Sebastes_babcocki	Sebastes_nigrocinctus	16
86	Sebastes_fasciatus	Sebastes_mentella	16
87	Sebastes_aurora	Sebastes_maliger	16
88	Sebastes_crameri	Sebastes_reedi	16
89	Sebastes_babcocki	Sebastes_variabilis	17
90	Sebastes_crameri	Sebastes_reedi	17
91	Sebastes_fasciatus	Sebastes_mentella	17
92	Sebastes_helvomaculatus	Sebastes_melanostomus	17
93	Sebastes_maliger	Sebastes_nebulosus	17
94	Sebastes_diploproa	Sebastes_nigrocinctus	17
95	Sebastes_babcocki	Sebastes_variabilis	18
96	Sebastes_nebulosus	Sebastes_pinniger	18
97	Sebastes_fasciatus	Sebastes_mentella	18
98	Sebastes_diploproa	Sebastes_nigrocinctus	18
99	Sebastes_aurora	Sebastes_maliger	18
100	Sebastes_crameri	Sebastes_reedi	18
101	Sebastes_babcocki	Sebastes_nigrocinctus	19
102	Sebastes_aleutianus	Sebastes_fasciatus	19
103	Sebastes_aurora	Sebastes_melanostomus	19
104	Sebastes_alutus	Sebastes_polyspinis	19
105	Sebastes_crameri	Sebastes_reedi	19
106	Sebastes_pinniger	Sebastes_ruberrimus	19
107	Sebastes_melanostomus	Sebastes_ruberrimus	20
108	Sebastes_helvomaculatus	Sebastes_maliger	20
109	Sebastes_babcocki	Sebastes_nigrocinctus	20
110	Sebastes_alutus	Sebastes_polyspinis	20
111	Sebastes_aleutianus	Sebastes_mentella	20
112	Sebastes_crameri	Sebastes_reedi	20
113	Sebastes_diploproa	Sebastes_fasciatus	21
114	Sebastes_aurora	Sebastes_pinniger	21
115	Sebastes_aleutianus	Sebastes_polyspinis	21
116	Sebastes_crameri	Sebastes_reedi	21
117	Sebastes_nigrocinctus	Sebastes_pinniger	22
118	Sebastes_mentella	Sebastes_variabilis	22
119	Sebastes_crameri	Sebastes_reedi	22
120	Sebastes_aurora	Sebastes_melanostomus	22
121	Sebastes_babcocki	Sebastes_melanostomus	23
122	Sebastes_aurora	Sebastes_nebulosus	23
123	Sebastes_diploproa	Sebastes_nigrocinctus	23
124	Sebastes_alutus	Sebastes_polyspinis	23
125	Sebastes_aleutianus	Sebastes_reedi	23
126	Sebastes_fasciatus	Sebastes_mentella	23
127	Sebastes_mentella	Sebastes_reedi	24
128	Sebastes_babcocki	Sebastes_nigrocinctus	24
129	Sebastes_melanostomus	Sebastes_ruberrimus	24
130	Sebastes_alutus	Sebastes_variabilis	24
131	Sebastes_helvomaculatus	Sebastes_maliger	24
132	Sebastes_crameri	Sebastes_variabilis	25
133	Sebastes_helvomaculatus	Sebastes_maliger	25
134	Sebastes_nigrocinctus	Sebastes_ruberrimus	25
135	Sebastes_melanostomus	Sebastes_mentella	25
136	Sebastes_mentella	Sebastes_variabilis	26
137	Sebastes_diploproa	Sebastes_pinniger	26
138	Sebastes_crameri	Sebastes_reedi	26
139	Sebastes_maliger	Sebastes_melanostomus	26
140	Sebastes_babcocki	Sebastes_variabilis	27
141	Sebastes_melanostomus	Sebastes_nebulosus	27
142	Sebastes_aurora	Sebastes_maliger	27
143	Sebastes_fasciatus	Sebastes_mentella	27
144	Sebastes_diploproa	Sebastes_nigrocinctus	27
145	Sebastes_crameri	Sebastes_reedi	27
146	Sebastes_aurora	Sebastes_pinniger	28
147	Sebastes_fasciatus	Sebastes_variabilis	28
148	Sebastes_crameri	Sebastes_reedi	28
149	Sebastes_babcocki	Sebastes_nigrocinctus	28
150	Sebastes_helvomaculatus	Sebastes_reedi	29
151	Sebastes_babcocki	Sebastes_diploproa	29
152	Sebastes_alutus	Sebastes_variabilis	29
153	Sebastes_fasciatus	Sebastes_mentella	29
154	Sebastes_aurora	Sebastes_maliger	29
155	Sebastes_fasciatus	Sebastes_pinniger	30
156	Sebastes_diploproa	Sebastes_ruberrimus	30
157	Sebastes_helvomaculatus	Sebastes_melanostomus	30
158	Sebastes_aleutianus	Sebastes_polyspinis	30
159	Sebastes_crameri	Sebastes_reedi	30
160	Sebastes_aurora	Sebastes_nebulosus	30
161	Sebastes_alutus	Sebastes_babcocki	31
162	Sebastes_helvomaculatus	Sebastes_melanostomus	31
163	Sebastes_diploproa	Sebastes_nigrocinctus	31
164	Sebastes_fasciatus	Sebastes_mentella	31
165	Sebastes_crameri	Sebastes_reedi	31
166	Sebastes_polyspinis	Sebastes_variabilis	31
167	Sebastes_aurora	Sebastes_nebulosus	31
168	Sebastes_polyspinis	Sebastes_variabilis	32
169	Sebastes_nigrocinctus	Sebastes_pinniger	32
170	Sebastes_maliger	Sebastes_melanostomus	32
171	Sebastes_alutus	Sebastes_fasciatus	32
172	Sebastes_crameri	Sebastes_reedi	32
173	Sebastes_fasciatus	Sebastes_polyspinis	33
174	Sebastes_crameri	Sebastes_reedi	33
175	Sebastes_diploproa	Sebastes_pinniger	33
176	Sebastes_aurora	Sebastes_nebulosus	33
177	Sebastes_helvomaculatus	Sebastes_melanostomus	33
178	Sebastes_helvomaculatus	Sebastes_nebulosus	34
179	Sebastes_aleutianus	Sebastes_fasciatus	34
180	Sebastes_babcocki	Sebastes_ruberrimus	34
181	Sebastes_alutus	Sebastes_variabilis	34
182	Sebastes_diploproa	Sebastes_nigrocinctus	34
183	Sebastes_crameri	Sebastes_reedi	34
184	Sebastes_melanostomus	Sebastes_pinniger	34
185	Sebastes_aurora	Sebastes_maliger	34
186	Sebastes_aurora	Sebastes_variabilis	35
187	Sebastes_fasciatus	Sebastes_mentella	35
188	Sebastes_babcocki	Sebastes_nigrocinctus	35
189	Sebastes_crameri	Sebastes_reedi	35
190	Sebastes_alutus	Sebastes_reedi	36
191	Sebastes_helvomaculatus	Sebastes_mentella	36
192	Sebastes_maliger	Sebastes_nebulosus	36
193	Sebastes_polyspinis	Sebastes_variabilis	36
194	Sebastes_babcocki	Sebastes_diploproa	36
195	Sebastes_helvomaculatus	Sebastes_nigrocinctus	37
196	Sebastes_reedi	Sebastes_variabilis	37
197	Sebastes_aurora	Sebastes_nebulosus	37
198	Sebastes_fasciatus	Sebastes_mentella	37
199	Sebastes_maliger	Sebastes_nigrocinctus	38
200	Sebastes_alutus	Sebastes_fasciatus	38
201	Sebastes_crameri	Sebastes_reedi	38
202	Sebastes_polyspinis	Sebastes_variabilis	38
203	Sebastes_babcocki	Sebastes_crameri	39
204	Sebastes_polyspinis	Sebastes_variabilis	39
205	Sebastes_helvomaculatus	Sebastes_nebulosus	39
206	Sebastes_diploproa	Sebastes_nigrocinctus	39
207	Sebastes_aleutianus	Sebastes_alutus	39
208	Sebastes_fasciatus	Sebastes_mentella	39
209	Sebastes_melanostomus	Sebastes_pinniger	39
210	Sebastes_aurora	Sebastes_maliger	39
211	Sebastes_diploproa	Sebastes_nigrocinctus	40
212	Sebastes_babcocki	Sebastes_reedi	40
213	Sebastes_fasciatus	Sebastes_mentella	40
214	Sebastes_melanostomus	Sebastes_nebulosus	40
215	Sebastes_aurora	Sebastes_maliger	40
216	Sebastes_aleutianus	Sebastes_polyspinis	40
217	Sebastes_crameri	Sebastes_variabilis	41
218	Sebastes_maliger	Sebastes_nigrocinctus	41
219	Sebastes_fasciatus	Sebastes_mentella	41
220	Sebastes_fasciatus	Sebastes_reedi	42
221	Sebastes_aurora	Sebastes_babcocki	42
222	Sebastes_aleutianus	Sebastes_polyspinis	42
223	Sebastes_diploproa	Sebastes_nigrocinctus	42
224	Sebastes_nigrocinctus	Sebastes_pinniger	43
225	Sebastes_aleutianus	Sebastes_crameri	43
226	Sebastes_helvomaculatus	Sebastes_maliger	43
227	Sebastes_fasciatus	Sebastes_mentella	43
228	Sebastes_alutus	Sebastes_variabilis	43
229	Sebastes_aurora	Sebastes_babcocki	44
