species	name	lifespan
Helicolenus_lengerichi	NA	7
Sebastes_minor	NA	11
Sebastes_dalli	Calico rockfish	12
Sebastes_inermis	NA	12
Sebastes_ventricosus	NA	13
Sebastes_rosaceus	Rosy rockfish	14
Sebastes_semicinctus	Halfbanded rockfish	15
Sebastes_taczanowskii	White-edged Rockfish	15
Sebastes_steindachneri	NA	17
Sebastes_hopkinsi	Squarespot rockfish	19
Sebastes_macdonaldi	Mexican rockfish	20
Sebastes_schlegelii	Korean rockfish	20
Sebastes_cheni	Japanese white seaperch	22
Sebastes_emphaeus	Puget Sound rockfish	22
Sebastes_rastrelliger	Grass rockfish	23
Sebastes_exsul	Buccaneer rockfish	24
Sebastes_atrovirens	Kelp rockfish	25
Sebastes_serriceps	Treefish	25
Sebastes_wilsoni	Pygmy rockfish	26
Sebastes_carnatus	Gopher rockfish	30
Sebastes_chrysomelas	Black-and-yellow rockfish	30
Sebastes_serranoides	Olive rockfish	30
Sebastes_umbrosus	Honeycomb rockfish	31
Sebastes_constellatus	Starry rockfish	32
Sebastes_jordani	Shortbelly rockfish	32
Sebastes_auriculatus	Brown rockfish	34
Sebastolobus_macrochir	Broadbanded thornyhead	34
Sebastes_vulpes	NA	35
Sebastes_rubrivinctus	Flag rockfish	36
Sebastes_ovalis	Speckled rockfish	37
Sebastes_ensifer	Swordspine rockfish	38
Sebastes_saxicola	Stripetail rockfish	38
Sebastes_goodei	Chilipepper rockfish	39
Sebastes_simulator	Pinkrose rockfish	39
Sebastes_viviparus	Norway redfish	40
Helicolenus_percoides	Red gurnard perch	42
Helicolenus_dactylopterus	Blackbelly rosefish	43
Sebastes_mystinus	Blue rockfish	44
Sebastes_variegatus	Harlequin rockfish	48
Sebastes_chlorostictus	Greenspotted rockfish	51
Sebastes_eos	Pink rockfish	52
Sebastes_phillipsi	Chameleon rockfish	53
Sebastes_elongatus	Greenstriped rockfish	54
Sebastes_levis	Cowcod	55
Sebastes_melanops	Black rockfish	56
Sebastes_caurinus	Copper rockfish	57
Sebastes_paucispinis	Bocaccio rockfish	58
Sebastes_rosenblatti	Greenblotched rockfish	58
Sebastes_entomelas	Widow rockfish	60
Sebastes_gilli	Bronzespotted rockfish	60
Sebastes_miniatus	Vermillion rockfish	60
Sebastes_norvegicus	Golden redfish	60
Sebastes_flavidus	Yellowtail rockfish	64
Sebastolobus_altivelis	Longspine thornyhead	65
Sebastes_ciliatus	Dusky rockfish	67
Sebastes_proriger	Redstripe rockfish	70
Sebastes_zacentrus	Sharpchin rockfish	73
Sebastes_fasciatus	Acadian redfish	75
Sebastes_mentella	Beaked redfish	75
Sebastes_variabilis	Light dusky rockfish	76
Sebastes_nebulosus	China rockfish	79
Sebastes_brevispinis	Silvergray rockfish	82
Sebastes_pinniger	Canary rockfish	84
Sebastes_rufus	Bank rockfish	85
Sebastes_helvomaculatus	Rosethorn rockfish	87
Sebastes_polyspinis	Northern rockfish	88
Sebastes_melanostomus	Blackgill rockfish	90
Sebastes_maliger	Quillback rockfish	95
Sebastes_reedi	Yellowmouth rockfish	100
Sebastes_alutus	Pacific ocean perch	103
Sebastes_diploproa	Splitnose rockfish	103
Sebastes_crameri	Darkblotched rockfish	105
Sebastes_babcocki	Redbanded rockfish	106
Sebastes_melanostictus	Blackspotted rockfish	113
Sebastes_nigrocinctus	Tiger rockfish	116
Sebastes_aurora	Aurora rockfish	118
Sebastolobus_alascanus	Shortspine thornyhead	133
Sebastes_ruberrimus	Yelloweye rockfish	147
Sebastes_borealis	Shortraker rockfish	160
Sebastes_aleutianus	Rougheye rockfish	205
Adelosebastes_latens	NA	NA
Helicolenus_avius	NA	NA
Helicolenus_barathri	Bigeye sea perch	NA
Helicolenus_fedorovi	NA	NA
Helicolenus_hilgendorfii	NA	NA
Helicolenus_lahillei	NA	NA
Helicolenus_mouchezi	Rosefish	NA
Hozukius_emblemarius	NA	NA
Hozukius_guyotensis	NA	NA
Sebastes_baramenuke	NA	NA
Sebastes_capensis	Cape redfish	NA
Sebastes_cortezi	Cortez rockfish	NA
Sebastes_diaconus	Deacon rockfish	NA
Sebastes_flammeus	NA	NA
