species1	species2	replicate
1	Sebastes_inermis	Sebastes_schlegelii	1
2	Sebastes_exsul	Sebastes_jordani	1
3	Sebastes_auriculatus	Sebastes_carnatus	1
4	Sebastes_dalli	Sebastes_rastrelliger	1
5	Sebastes_rubrivinctus	Sebastes_serriceps	1
6	Sebastes_minor	Sebastes_steindachneri	1
7	Sebastes_hopkinsi	Sebastes_wilsoni	1
8	Sebastes_jordani	Sebastes_semicinctus	2
9	Sebastes_constellatus	Sebastes_exsul	2
10	Sebastes_rubrivinctus	Sebastes_serriceps	2
11	Sebastes_auriculatus	Sebastes_carnatus	2
12	Sebastes_dalli	Sebastes_rastrelliger	2
13	Sebastes_inermis	Sebastes_wilsoni	2
14	Sebastes_rosaceus	Sebastes_umbrosus	2
15	Sebastes_minor	Sebastes_steindachneri	2
16	Sebastes_rubrivinctus	Sebastes_umbrosus	3
17	Sebastes_constellatus	Sebastes_exsul	3
18	Sebastes_schlegelii	Sebastes_steindachneri	3
19	Sebastes_dalli	Sebastes_semicinctus	3
20	Sebastes_atrovirens	Sebastes_carnatus	3
21	Sebastes_hopkinsi	Sebastes_wilsoni	3
22	Sebastes_rosaceus	Sebastes_rubrivinctus	4
23	Sebastes_inermis	Sebastes_schlegelii	4
24	Sebastes_atrovirens	Sebastes_semicinctus	4
25	Sebastes_dalli	Sebastes_rastrelliger	4
26	Sebastes_hopkinsi	Sebastes_minor	4
27	Sebastes_constellatus	Sebastes_umbrosus	4
28	Sebastes_schlegelii	Sebastes_serriceps	5
29	Sebastes_carnatus	Sebastes_constellatus	5
30	Sebastes_auriculatus	Sebastes_dalli	5
31	Sebastes_minor	Sebastes_steindachneri	5
32	Sebastes_rubrivinctus	Sebastes_schlegelii	6
33	Sebastes_atrovirens	Sebastes_semicinctus	6
34	Sebastes_minor	Sebastes_steindachneri	6
35	Sebastes_constellatus	Sebastes_umbrosus	6
36	Sebastes_auriculatus	Sebastes_rastrelliger	6
37	Sebastes_schlegelii	Sebastes_semicinctus	7
38	Sebastes_rubrivinctus	Sebastes_serriceps	7
39	Sebastes_atrovirens	Sebastes_dalli	7
40	Sebastes_constellatus	Sebastes_exsul	7
41	Sebastes_minor	Sebastes_steindachneri	7
42	Sebastes_rosaceus	Sebastes_umbrosus	7
43	Sebastes_rastrelliger	Sebastes_umbrosus	8
44	Sebastes_inermis	Sebastes_rubrivinctus	8
45	Sebastes_atrovirens	Sebastes_carnatus	8
46	Sebastes_minor	Sebastes_steindachneri	8
47	Sebastes_constellatus	Sebastes_exsul	8
48	Sebastes_exsul	Sebastes_rosaceus	9
49	Sebastes_rubrivinctus	Sebastes_schlegelii	9
50	Sebastes_atrovirens	Sebastes_auriculatus	9
51	Sebastes_dalli	Sebastes_rastrelliger	9
52	Sebastes_minor	Sebastes_steindachneri	9
53	Sebastes_constellatus	Sebastes_schlegelii	10
54	Sebastes_atrovirens	Sebastes_dalli	10
55	Sebastes_minor	Sebastes_steindachneri	10
56	Sebastes_rubrivinctus	Sebastes_serriceps	10
57	Sebastes_schlegelii	Sebastes_wilsoni	11
58	Sebastes_constellatus	Sebastes_rastrelliger	11
59	Sebastes_atrovirens	Sebastes_carnatus	11
60	Sebastes_jordani	Sebastes_rubrivinctus	11
61	Sebastes_minor	Sebastes_steindachneri	11
62	Sebastes_steindachneri	Sebastes_umbrosus	12
63	Sebastes_inermis	Sebastes_schlegelii	12
64	Sebastes_constellatus	Sebastes_exsul	12
65	Sebastes_atrovirens	Sebastes_rastrelliger	12
66	Sebastes_jordani	Sebastes_serriceps	12
67	Sebastes_atrovirens	Sebastes_wilsoni	13
